"E/V","I/uA"
-5.4950000E-01,9.4141000E+00
-5.4900000E-01,1.1481000E+01
-5.4850000E-01,1.1969900E+01
-5.4800000E-01,1.2197500E+01
-5.4750000E-01,1.2245500E+01
-5.4700000E-01,1.2339200E+01
-5.4650000E-01,1.2380200E+01
-5.4600000E-01,1.2232600E+01
-5.4550000E-01,1.2248200E+01
-5.4500000E-01,1.2366700E+01
-5.4450000E-01,1.2269500E+01
-5.4400000E-01,1.2320900E+01
-5.4350000E-01,1.2393200E+01
-5.4300000E-01,1.2412400E+01
-5.4250000E-01,1.2405700E+01
-5.4200000E-01,1.2366000E+01
-5.4150000E-01,1.2405300E+01
-5.4100000E-01,1.2427200E+01
-5.4050000E-01,1.2444300E+01
-5.4000000E-01,1.2493100E+01
-5.3950000E-01,1.2406700E+01
-5.3900000E-01,1.2455200E+01
-5.3850000E-01,1.2306300E+01
-5.3800000E-01,1.2491000E+01
-5.3750000E-01,1.2349800E+01
-5.3700000E-01,1.2499000E+01
-5.3650000E-01,1.2463400E+01
-5.3600000E-01,1.2553200E+01
-5.3550000E-01,1.2514200E+01
-5.3500000E-01,1.2535400E+01
-5.3450000E-01,1.2792500E+01
-5.3400000E-01,1.2835900E+01
-5.3350000E-01,1.2596700E+01
-5.3300000E-01,1.2746300E+01
-5.3250000E-01,1.2768700E+01
-5.3200000E-01,1.2721300E+01
-5.3150000E-01,1.2802500E+01
-5.3100000E-01,1.2690100E+01
-5.3050000E-01,1.2781800E+01
-5.3000000E-01,1.2804100E+01
-5.2950000E-01,1.2697700E+01
-5.2900000E-01,1.2711700E+01
-5.2850000E-01,1.2835000E+01
-5.2800000E-01,1.2776900E+01
-5.2750000E-01,1.2853600E+01
-5.2700000E-01,1.2589300E+01
-5.2650000E-01,1.2674000E+01
-5.2600000E-01,1.2755800E+01
-5.2550000E-01,1.2718200E+01
-5.2500000E-01,1.2767200E+01
-5.2450000E-01,1.2612600E+01
-5.2400000E-01,1.2664100E+01
-5.2350000E-01,1.2741700E+01
-5.2300000E-01,1.2786700E+01
-5.2250000E-01,1.2615400E+01
-5.2200000E-01,1.2739800E+01
-5.2150000E-01,1.2646500E+01
-5.2100000E-01,1.2771700E+01
-5.2050000E-01,1.2717700E+01
-5.2000000E-01,1.2848900E+01
-5.1950000E-01,1.2792200E+01
-5.1900000E-01,1.2749400E+01
-5.1850000E-01,1.2736300E+01
-5.1800000E-01,1.2561000E+01
-5.1750000E-01,1.2518700E+01
-5.1700000E-01,1.2674700E+01
-5.1650000E-01,1.2773400E+01
-5.1600000E-01,1.2607800E+01
-5.1550000E-01,1.2843000E+01
-5.1500000E-01,1.2650100E+01
-5.1450000E-01,1.2817300E+01
-5.1400000E-01,1.2934000E+01
-5.1350000E-01,1.3068800E+01
-5.1300000E-01,1.3030100E+01
-5.1250000E-01,1.3108000E+01
-5.1200000E-01,1.3137600E+01
-5.1150000E-01,1.3042400E+01
-5.1100000E-01,1.3064700E+01
-5.1050000E-01,1.3280100E+01
-5.1000000E-01,1.3156800E+01
-5.0950000E-01,1.3268700E+01
-5.0900000E-01,1.3154700E+01
-5.0850000E-01,1.3137700E+01
-5.0800000E-01,1.3109700E+01
-5.0750000E-01,1.3297000E+01
-5.0700000E-01,1.3116500E+01
-5.0650000E-01,1.3055400E+01
-5.0600000E-01,1.3323800E+01
-5.0550000E-01,1.3198000E+01
-5.0500000E-01,1.3142100E+01
-5.0450000E-01,1.3049700E+01
-5.0400000E-01,1.3132200E+01
-5.0350000E-01,1.3196300E+01
-5.0300000E-01,1.3178100E+01
-5.0250000E-01,1.3289900E+01
-5.0200000E-01,1.3251300E+01
-5.0150000E-01,1.3041100E+01
-5.0100000E-01,1.3142100E+01
-5.0050000E-01,1.3130200E+01
-5.0000000E-01,1.3135900E+01
-4.9950000E-01,1.3159000E+01
-4.9900000E-01,1.3288400E+01
-4.9850000E-01,1.3001500E+01
-4.9800000E-01,1.3218900E+01
-4.9750000E-01,1.3185100E+01
-4.9700000E-01,1.3147900E+01
-4.9650000E-01,1.3101000E+01
-4.9600000E-01,1.3043900E+01
-4.9550000E-01,1.3130200E+01
-4.9500000E-01,1.2968100E+01
-4.9450000E-01,1.3126400E+01
-4.9400000E-01,1.3211400E+01
-4.9350000E-01,1.3104100E+01
-4.9300000E-01,1.3479300E+01
-4.9250000E-01,1.3479200E+01
-4.9200000E-01,1.3527700E+01
-4.9150000E-01,1.3470500E+01
-4.9100000E-01,1.3532700E+01
-4.9050000E-01,1.3613900E+01
-4.9000000E-01,1.3642000E+01
-4.8950000E-01,1.3332800E+01
-4.8900000E-01,1.3592200E+01
-4.8850000E-01,1.3600900E+01
-4.8800000E-01,1.3479700E+01
-4.8750000E-01,1.3488800E+01
-4.8700000E-01,1.3462400E+01
-4.8650000E-01,1.3367100E+01
-4.8600000E-01,1.3684000E+01
-4.8550000E-01,1.3508900E+01
-4.8500000E-01,1.3411600E+01
-4.8450000E-01,1.3657800E+01
-4.8400000E-01,1.3542200E+01
-4.8350000E-01,1.3555100E+01
-4.8300000E-01,1.3638400E+01
-4.8250000E-01,1.3532400E+01
-4.8200000E-01,1.3542800E+01
-4.8150000E-01,1.3424400E+01
-4.8100000E-01,1.3519800E+01
-4.8050000E-01,1.3484700E+01
-4.8000000E-01,1.3518100E+01
-4.7950000E-01,1.3643800E+01
-4.7900000E-01,1.3578500E+01
-4.7850000E-01,1.3606400E+01
-4.7800000E-01,1.3566900E+01
-4.7750000E-01,1.3404700E+01
-4.7700000E-01,1.3418000E+01
-4.7650000E-01,1.3627700E+01
-4.7600000E-01,1.3588500E+01
-4.7550000E-01,1.3421300E+01
-4.7500000E-01,1.3460000E+01
-4.7450000E-01,1.3475800E+01
-4.7400000E-01,1.3566400E+01
-4.7350000E-01,1.3635100E+01
-4.7300000E-01,1.3693900E+01
-4.7250000E-01,1.3694000E+01
-4.7200000E-01,1.3673200E+01
-4.7150000E-01,1.3735200E+01
-4.7100000E-01,1.3775600E+01
-4.7050000E-01,1.3743200E+01
-4.7000000E-01,1.3794400E+01
-4.6950000E-01,1.3797400E+01
-4.6900000E-01,1.3752900E+01
-4.6850000E-01,1.3827700E+01
-4.6800000E-01,1.3980400E+01
-4.6750000E-01,1.3769000E+01
-4.6700000E-01,1.3798300E+01
-4.6650000E-01,1.3732900E+01
-4.6600000E-01,1.3927700E+01
-4.6550000E-01,1.3739200E+01
-4.6500000E-01,1.3874300E+01
-4.6450000E-01,1.3639600E+01
-4.6400000E-01,1.3810200E+01
-4.6350000E-01,1.3795200E+01
-4.6300000E-01,1.3753100E+01
-4.6250000E-01,1.3714500E+01
-4.6200000E-01,1.3709800E+01
-4.6150000E-01,1.3783400E+01
-4.6100000E-01,1.3844400E+01
-4.6050000E-01,1.3800200E+01
-4.6000000E-01,1.3860900E+01
-4.5950000E-01,1.3704700E+01
-4.5900000E-01,1.3758700E+01
-4.5850000E-01,1.3775900E+01
